combination_id,n_ingredients,n_active_slots,slot_main_protein,slot_egg,slot_calcium,slot_mineral_shellfish,slot_organ_liver,slot_organ_secreting,slot_vegetable,slot_omega3_lc,slot_omega6_la,slot_carbohydrate,slot_iodine,slot_shellfish_protein,diversity_score,risk_score,completeness_score,active_slots
combo_0103,12,12,Beef 95% Lean Meat / 5% Fat,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Blueberries,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.8,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, iodine, shellfish_protein"
combo_0105,12,12,Beef 95% Lean Meat / 5% Fat,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Collards,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.8,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, iodine, shellfish_protein"
combo_0107,12,12,Beef 95% Lean Meat / 5% Fat,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Carrots Baby,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.8,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, iodine, shellfish_protein"
combo_0001,11,11,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Blueberries,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, shellfish_protein"
combo_0003,11,11,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Collards,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, shellfish_protein"
combo_0005,11,11,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Carrots Baby,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, shellfish_protein"
combo_0010,11,11,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Blueberries,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, shellfish_protein"
combo_0012,11,11,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Collards,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, shellfish_protein"
combo_0014,11,11,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Carrots Baby,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, shellfish_protein"
combo_0062,11,11,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Blueberries,Cod Liver,,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate, shellfish_protein"
combo_0066,11,11,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Collards,Cod Liver,,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate, shellfish_protein"
combo_0070,11,11,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Carrots Baby,Cod Liver,,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate, shellfish_protein"
combo_0083,11,11,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Blueberries,Cod Liver,,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate, shellfish_protein"
combo_0087,11,11,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Collards,Cod Liver,,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate, shellfish_protein"
combo_0091,11,11,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Carrots Baby,Cod Liver,,Rice Brown Long-Grain,Table Iodized,Shrimp,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate, shellfish_protein"
combo_0102,11,11,Beef 95% Lean Meat / 5% Fat,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Blueberries,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,Table Iodized,,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, iodine"
combo_0104,11,11,Beef 95% Lean Meat / 5% Fat,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Collards,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,Table Iodized,,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, iodine"
combo_0106,11,11,Beef 95% Lean Meat / 5% Fat,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Carrots Baby,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,Table Iodized,,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, iodine"
combo_0108,12,11,Beef 95% Lean Meat / 5% Fat,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,"Blueberries, Collards",Cod Liver,Oil Sunflower,Rice Brown Long-Grain,Table Iodized,,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, iodine"
combo_0109,12,11,Beef 95% Lean Meat / 5% Fat,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,"Blueberries, Carrots Baby",Cod Liver,Oil Sunflower,Rice Brown Long-Grain,Table Iodized,,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, iodine"
combo_0110,12,11,Beef 95% Lean Meat / 5% Fat,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,"Collards, Carrots Baby",Cod Liver,Oil Sunflower,Rice Brown Long-Grain,Table Iodized,,0.0,1.0,0.733,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate, iodine"
combo_0000,10,10,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Blueberries,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate"
combo_0002,10,10,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Collards,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate"
combo_0004,10,10,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Carrots Baby,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate"
combo_0006,11,10,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,"Blueberries, Collards",Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate"
combo_0007,11,10,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,"Blueberries, Carrots Baby",Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate"
combo_0008,11,10,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,"Collards, Carrots Baby",Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate"
combo_0009,10,10,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Blueberries,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate"
combo_0011,10,10,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Collards,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate"
combo_0013,10,10,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Carrots Baby,Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate"
combo_0015,11,10,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,"Blueberries, Collards",Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate"
combo_0016,11,10,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,"Blueberries, Carrots Baby",Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate"
combo_0017,11,10,Cod Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,"Collards, Carrots Baby",Cod Liver,Oil Sunflower,Rice Brown Long-Grain,,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, omega6_la, carbohydrate"
combo_0020,10,10,Salmon Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Blueberries,,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega6_la, carbohydrate, shellfish_protein"
combo_0024,10,10,Salmon Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Collards,,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega6_la, carbohydrate, shellfish_protein"
combo_0028,10,10,Salmon Atlantic,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Carrots Baby,,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega6_la, carbohydrate, shellfish_protein"
combo_0041,10,10,Salmon Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Blueberries,,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega6_la, carbohydrate, shellfish_protein"
combo_0045,10,10,Salmon Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Collards,,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega6_la, carbohydrate, shellfish_protein"
combo_0049,10,10,Salmon Atlantic,Egg,Eggshell Powder,Oyster Pacific,Chicken Liver,Beef Kidneys,Carrots Baby,,Oil Sunflower,Rice Brown Long-Grain,,Shrimp,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega6_la, carbohydrate, shellfish_protein"
combo_0061,10,10,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Blueberries,Cod Liver,,Rice Brown Long-Grain,Table Iodized,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate"
combo_0063,10,10,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Blueberries,Cod Liver,,,Table Iodized,Shrimp,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, shellfish_protein"
combo_0065,10,10,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Collards,Cod Liver,,Rice Brown Long-Grain,Table Iodized,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate"
combo_0067,10,10,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Collards,Cod Liver,,,Table Iodized,Shrimp,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, shellfish_protein"
combo_0069,10,10,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Carrots Baby,Cod Liver,,Rice Brown Long-Grain,Table Iodized,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate"
combo_0071,10,10,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,Carrots Baby,Cod Liver,,,Table Iodized,Shrimp,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, shellfish_protein"
combo_0073,11,10,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,"Blueberries, Collards",Cod Liver,,Rice Brown Long-Grain,Table Iodized,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate"
combo_0074,11,10,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,"Blueberries, Collards",Cod Liver,,,Table Iodized,Shrimp,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, shellfish_protein"
combo_0076,11,10,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,"Blueberries, Carrots Baby",Cod Liver,,Rice Brown Long-Grain,Table Iodized,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate"
combo_0077,11,10,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,"Blueberries, Carrots Baby",Cod Liver,,,Table Iodized,Shrimp,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, shellfish_protein"
combo_0079,11,10,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,"Collards, Carrots Baby",Cod Liver,,Rice Brown Long-Grain,Table Iodized,,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, carbohydrate"
combo_0080,11,10,Pork 84% Lean / 16% Fat Crumbles,Egg,Eggshell Powder,Oyster Pacific,Beef Liver,Beef Kidneys,"Collards, Carrots Baby",Cod Liver,,,Table Iodized,Shrimp,0.0,1.0,0.667,"main_protein, egg, calcium, mineral_shellfish, organ_liver, organ_secreting, vegetable, omega3_lc, iodine, shellfish_protein"
